Code minéralogique;nom de domaine;Pays;Capitale
A;at;Autriche;Vienne
AL;al;Albanie;Tirana
B;be;Belgique;Bruxelles
BG;bg;Bulgarie;Sofia
BIH;ba;Bosnie-Herzégovine;Sarajevo
BY;by;Biélorussie;Minsk
CH;ch;Suisse;Berne
CY;cy;Chypre;Nicosie
CZ;cz;République-Tchèque;Prague
D;de;Allemagne;Berlin
DK;dk;Danemark;Copenhague
E;es;Espagne;Madrid
EST;ee;Estonie;Tallinn
F;fr;France;Paris
FIN;fi;Finlande;Helsinki
FL;li;Liechtenstein;Vaduz
FO;fo;Iles-Féroé;Tórshavn
GB;uk;Grande-Bretagne;Londres
GE;ge;Géorgie;Tbilissi
GR;el;Grèce;Athènes
H;hu;Hongrie;Budapest
HR;hr;Croatie;Zagreb
I;it;Italie;Rome
IRL;ie;Irlande;Dublin
IS;is;Islande;Reykjavik
L;lu;Luxembourg;Luxembourg
LT;lt;Lituanie;Vilnius
LV;lv;Lettonie;Riga
M;mt;Malte;La Valette
MC;mc;Monaco;Monaco
MD;md;Moldavie;Chisinau
MK;mk;Macédoine;Skopje
MNE;me;Monténégro;Podgorica
N;no;Norvège;Oslo
NL;nl;Pays-Bas;Amsterdam
P;pt;Portugal;Lisbonne
PL;pl;Pologne;Varsovie
RO;ro;Roumanie;Bucarest
RSM;sm;Saint-Marin;Saint-Marin
RUS;ru;Russie;Moscou
S;se;Suède;Stockholm
SK;sk;République-Slovaque;Bratislava
SLO;si;Slovénie;Ljubljana
SRB;rs;Serbie;Belgrade
UA;ua;Ukraine;Kiev
